0,1,2,3
MISU,Stir - Fried Vegetbles with Chilli Garlic Basil Sauce,₹450,
MISU,Stir Fried Edamame,₹540,"Edamame stir fried with garlic, chilli and soya."
MISU,Chicken and Shrimp Burnt Garlic Rice,₹510,"Fried rice tossed in butter, burnt garlic and scallions."
MISU,Chicken and Shrimp Pineapple Fried Rice,₹510,"Wok tossed fried rice with pineapple cubes, bell pepper, lime and cashew nuts."
MISU,Chicken and Shrimp Thai Wok Fried Rice,₹510,"Wok tossed fried rice with roasted chilli paste, bell pepper and basil."
MISU,Tofu Avocado Maki,₹540,
MISU,Chicken Gyoza Pan Seared,₹440,
MISU,Chicken Stir Fried Black Pepper Gravy,₹510,"Shredded chicken tossed with bell peppers, chilli, oyster sauce and crushed
black pepper."
MISU,Crispy Chicken Donburi with Udon Noodles,₹540,
MISU,Miso Ramen Chicken,₹510,
MISU,Miso Ramen Veg,₹480,
MISU,Sambal Prawns,₹560,Fried prawns tossed with bell peppers and onion in sambal sauce.
MISU,Teriyaki Chicken Donburi,₹540,
MISU,Chicken Spicy Yaki Soba,₹450,"Wok fried Japanese style buckwheat noodles with spiced butter, garlic, soy,
shiitake and Chinese ... read more"
MISU,Fish Honey Chilli Mustard Sauce,₹510,White fish slices wok-tossed with honey and kasundi mustard.
MISU,Kappa Maki,₹480,
MISU,Chicken Classic Hakka Noodles,₹450,"Wok fried noodles with bok choy, bell peppers, soy and spring onions."
MISU,Chicken Spicy Chilli Basil Noodles,₹450,"Thin noodles tossed with chilli, garlic, Thai basil and Chinese vegetables."
MISU,Dynamite Shrimp,₹570,Light batter fried shrimps tossed in a combination of Thai sweet chilli sauce ... read more
MISU,Krapow Chicken,₹480,
MISU,Mango Sticky Rice,₹480,
MISU,Nasi Goreng Chicken,₹540,
MISU,Veg Shanghai Hot and Sour Soup,₹270,Classic hot and sour soup with chilli bean sauce and assorted vegetables.
MISU,Veg Vietnamese Pho Soup,₹270,Flat noodles in a star anise flavoured broth with sprouts and Chinese cabbage.
MISU,Burmese Ginger Salad Veg,₹300,
MISU,Glass Noodle Salad Veg,₹300,
MISU,Green Mango Salad Prawn,₹360,
MISU,Veg Shanghai Hot and Sour Soup,₹270,Classic hot and sour soup with chilli bean sauce and assorted vegetables.
MISU,Veg Tom Yum Soup,₹270,"Thin soup flavoured with chilli, lemongrass chunks, galangal and kaffir lime."
MISU,Veg Corn Soup,₹270,Creamy and tasty filipino style soup made with corn.
MISU,Veg Vietnamese Pho Soup,₹270,Flat noodles in a star anise flavoured broth with sprouts and Chinese cabbage.
MISU,Chicken Shanghai Hot and Sour Soup,₹300,Classic hot and sour soup with chilli bean sauce and assorted vegetables.
MISU,Chicken Tom Yum Soup,₹300,"Thin soup flavoured with chilli, lemongrass chunks, galangal and kaffir lime."
MISU,Chicken Corn Soup,₹300,Creamy and tasty filipino style soup made with corn.
MISU,Chicken Vietnamese Pho Soup,₹300,Flat noodles in a star anise flavoured broth with sprouts and Chinese cabbage.
MISU,Bakso Chicken Soup,₹330,"Chicken, tofu, noodles, celery and fried shallots in chicken broth."
MISU,Shrimp Tom Yum Soup,₹330,"Thin soup flavoured with chilli, lemongrass chunks, galangal and kaffir lime."
MISU,Spicy Pomelo Salad Veg,₹300,
MISU,Burmese Ginger Salad Veg,₹300,
MISU,Som Tam Salad Veg,₹300,
MISU,Green Mango Salad Veg,₹300,
MISU,Glass Noodle Salad Veg,₹300,
MISU,Spicy Pomelo Salad Prawn,₹360,
MISU,Som Tam Salad Prawn,₹360,
MISU,Green Mango Salad Prawn,₹360,
MISU,Glass Noodle Salad Prawn,₹360,
MISU,Pickled Cucumber Salad,₹300,"Sliced English cucumber with  Chinese black vinegar, chillies and sesame oil."
MISU,Edamame Pomelo Salad with Mint Dressing,₹330,"Edamame, pomelo & cucumber with mint dressing"
MISU,Corn Avocado Salad with Peppercorn Olive Dressing,₹330,"Avocado, corn salad with dill leaves, olive and honey lemon dressing."
MISU,Tofu Tempura Salad with Peanut Dressing,₹340,"Fried tempura batter tofu with cucumber, bell peppers and peanut dressing."
MISU,Thai Grilled Chicken Salad,₹350,"Thai style grilled chicken with lettuce cucumber ,tomatoes and peanut lime dressing."
MISU,Bok Choy and Mushrooms,₹420,[Veg preparation] Stir fried Chinese bok choy and mushrooms tossed in garlic oyster ... read more
MISU,Thai Golden Bags- Mushroom and Water Chestnut,₹390,Golden fried pouches stuffed with a choice of mushroom and water chestnut.
MISU,Crispy Fried Wonton,₹390,Golden fried wonton served with Thai sweet chilli sauce.
MISU,Nam Phrik Tofu,₹390,Crispy shredded tofu tossed in roasted Thai chilli paste.
MISU,Kung Pao Tofu Dry,₹390,
MISU,Kung Pao Tofu- Gravy,₹450,"Fresh lettuce, cucumber, carrot, avocado, glass noodles and mint wrapped in rice paper, ... read more"
MISU,Stir Fried Edamame,₹540,"Edamame stir fried with garlic, chilli and soya."
MISU,Steamed Edamame,₹540,Edamame steamed with rock salt.
MISU,Tofu Honey Chilli Mustard Sauce,₹390,White tofu slices wok-tossed with honey and kasundi mustard.
MISU,Chicken Wings Bok Choy and Mushrooms,₹480,Stir fried Chinese bok choy and mushrooms tossed in garlic oyster sauce.
MISU,Chicken Thai Golden Bags,₹420,Golden fried pouches stuffed with a choice of chicken.
MISU,Chicken Crispy Fried Wonton,₹420,Golden fried wonton served with Thai sweet chilli sauce.
MISU,Chicken Nam Phrik,₹450,Crispy shredded chicken tossed in roasted Thai chilli paste.
MISU,Fried Chicken Wings with Thai Herbs,₹420,"Golden batter fried chicken wings tossed with galangal, Thai basil, chillies and soya."
